symptome,causes_possibles,conseils,urgence,pathologies_associees
Mal de tête,"Fatigue, déshydratation, tension nerveuse, sinusite, hypertension","Reposez-vous, hydratez-vous, évitez les écrans ; un antalgique simple peut aider si besoin",,
Douleur thoracique,"Angine de poitrine, infarctus, reflux gastrique, anxiété, douleur musculaire","Ne restez pas seul(e), ne conduisez pas vous-même vers l'hôpital","Douleur intense, oppression, irradiation dans le bras ou la mâchoire, essoufflement : appelez le 15 (SAMU) ou le 112 immédiatement",Possible infarctus du myocarde ; Angine de poitrine instable ; Angine de poitrine stable ; Pneumothorax spontané
Essoufflement soudain,"Problème cardiaque, embolie pulmonaire, crise d'asthme, anxiété","Asseyez-vous, essayez de respirer calmement","Apparition brutale, surtout avec douleur thoracique : appelez le 15 ou le 112",Anaphylaxie ; Possible infarctus du myocarde ; Œdème aigu du poumon ; Pneumothorax spontané
Vertiges,"Tension artérielle basse, déshydratation, problème d'oreille interne, effet secondaire d'un médicament","Asseyez-vous ou allongez-vous, levez-vous lentement, hydratez-vous",Vertiges soudains et intenses avec troubles de la parole ou de la vue : appelez le 15 (signe possible d'AVC),Tachycardie supraventriculaire paroxystique ; Fibrillation ou flutter auriculaire ; Anémie
Douleur abdominale,"Digestion difficile, constipation, gastrite, calculs biliaires, appendicite","Repas léger, éviter l'alcool et les plats gras, surveiller l'évolution","Douleur intense et soudaine, fièvre élevée, ou ventre très dur : consultez en urgence",
Fièvre,"Infection virale ou bactérienne, grippe","Reposez-vous, hydratez-vous bien, surveillez la température régulièrement","Fièvre supérieure à 39-40°C persistante, confusion, ou fièvre chez une personne âgée fragile : consultez rapidement",Épiglottite ; Laryngo-trachéo-bronchite (Croup) ; VIH (primo-infection) ; Tuberculose
Toux persistante,"Rhume, bronchite, reflux gastrique, allergie","Hydratation, une cuillère de miel dans une boisson chaude, air ambiant humide","Toux qui dure plus de 3 semaines, avec du sang, un essoufflement ou de la fièvre : consultez",Reflux gastro-œsophagien (RGO) ; Bronchiectasies ; Tuberculose ; Crise d'asthme / bronchospasme
Diarrhée,"Infection digestive, intolérance alimentaire, effet secondaire d'un médicament","Bien s'hydrater (eau, bouillon), repas légers, éviter les produits laitiers temporairement","Diarrhée avec du sang, forte fièvre, ou signes de déshydratation (bouche sèche, confusion) : consultez",Anaphylaxie ; Intoxication histaminique (poisson - scombroïde) ; VIH (primo-infection) ; Cancer du pancréas
Constipation,"Manque de fibres ou d'eau, sédentarité, effet de certains médicaments","Augmenter les fibres et l'eau, marcher régulièrement","Constipation soudaine et inhabituelle, surtout avec douleur ou perte de poids : consultez",Hernie inguinale
Douleurs articulaires,"Arthrose, arthrite, surmenage, âge","Repos relatif, chaud ou froid selon ce qui soulage, activité physique douce","Articulation rouge, chaude et gonflée, ou apparition brutale sans raison : consultez",
